in:Span,in:Side height,in:Trust Type,in:Segments,in:Midspan deflection,in:Shape exponent,in:Krümmungsanteil,in:MaterialSwitch bottom,in:MaterialSwitch top,in:MaterialSwitch right_dia,in:MaterialSwitch left_dia,in:MaterialSwitch vertical,in:MaterialSwitch column,in:TIMBER Type Switch bottom,in:TIMBER Type Switch top,in:TIMBER Type Switch right dia,in:TIMBER Type Switch left dia,in:TIMBER Type Switch vertical,in:TIMBER Type Switch column,in:STEEL CrossSectionSwitch bottom,in:STEEL CrossSectionSwitch top,in:STEEL CrossSectionSwitch right Diagonal,in:STEEL CrossSectionSwitch left Diagonal,in:STEEL CrossSectionSwitch vertical,in:STEEL CrossSectionSwitch column,in:Diameter_bottom,in:Diameter_top,in:Diameter_r_diagonal,in:Diameter_l_diagonal,in:Diameter_vertical,in:Diameter_column,in:Number of bars_bottom,in:Number of bars_top,in:Number of bars_r_diagonal,in:Number of bars_l_diagonal,in:Number of bars_vertical,in:Number of bars_column,out:wlc_Minimise_CO2,out:imgFile,img
30,2.8,5,22,2.50,0.54,0.73,1,0,0,1,0,0,11,7,14,10,14,22,1,5,12,2,13,9,8,6,0,7,6,0,0,19,9,13,2,18,957369.168301,img_0048.png,img_0048_Front.png
30,4.0,1,16,3.22,0.95,0.1,1,0,0,0,1,0,10,5,1,7,13,11,0,3,11,6,7,2,7,8,7,1,0,1,14,2,12,14,17,9,1.9351e+6,img_0049.png,img_0049_Front.png
30,2.8,2,20,2.19,2.09,0.8,0,0,0,0,1,1,21,25,11,24,22,21,10,7,10,8,2,8,1,4,6,6,3,6,19,3,3,8,11,6,335430.14295,img_0050.png,img_0050_Front.png
30,0.9,5,11,1.87,2.08,0.62,0,0,0,0,1,1,10,20,9,3,6,5,1,9,11,2,9,10,5,1,6,0,7,1,6,2,18,0,18,16,51959.170999,img_0051.png,img_0051_Front.png
30,1.1,5,22,2.13,1.29,0.53,0,1,1,1,0,0,14,2,9,10,20,5,11,12,7,2,8,1,7,0,5,8,2,5,11,18,6,4,1,11,2.2137e+6,img_0052.png,img_0052_Front.png
30,2.5,5,22,3.23,1.54,0.27,1,0,1,0,0,0,11,24,17,18,19,23,12,4,10,1,7,11,1,8,5,2,8,4,5,5,12,7,2,13,484337.101443,img_0053.png,img_0053_Front.png
30,2.0,2,21,2.77,1.21,0.41,0,0,0,1,1,1,1,25,6,21,12,12,11,6,10,2,12,10,1,7,6,0,5,4,17,4,2,10,4,16,504573.731703,img_0054.png,img_0054_Front.png
30,1.4,1,29,0.21,1.90,0.09,0,0,1,0,1,1,9,6,17,14,19,23,2,3,12,10,1,1,5,1,3,2,8,5,2,7,6,16,8,15,1.1364e+6,img_0055.png,img_0055_Front.png
30,2.0,5,25,3.85,1.94,0.91,1,1,1,1,1,0,13,5,19,8,21,15,8,1,10,7,0,4,5,4,8,1,4,7,19,9,9,3,3,12,3.3153e+6,img_0056.png,img_0056_Front.png
30,3.9,5,23,1.77,2.07,0.65,0,1,0,0,0,1,13,25,25,13,14,22,9,4,6,2,4,3,3,1,0,7,1,1,15,0,2,2,0,12,860822.401473,img_0057.png,img_0057_Front.png
30,0.7,1,21,2.51,2.06,0.3,0,0,0,1,0,0,5,5,13,25,20,4,11,12,4,9,13,2,4,6,3,1,2,1,3,11,13,18,12,10,2001.839375,img_0058.png,img_0058_Front.png
30,0.2,2,16,0.46,2.46,0.63,0,0,0,1,0,1,0,23,6,18,7,10,8,0,6,8,8,9,3,2,5,0,6,0,4,7,9,5,11,7,628161.423723,img_0059.png,img_0059_Front.png
30,4.2,6,26,3.97,1.73,0.03,0,0,0,1,1,0,14,6,24,1,6,9,11,0,12,9,10,0,7,0,1,7,6,2,17,4,2,19,8,18,1.2417e+6,img_0060.png,img_0060_Front.png
30,0.7,5,4,3.73,1.39,0.03,1,0,1,1,0,1,24,16,13,24,8,23,12,11,4,11,1,9,8,4,0,2,1,5,11,15,7,0,5,12,1.6312e+6,img_0061.png,img_0061_Front.png
30,3.3,5,25,0.91,1.92,0.12,0,0,1,0,0,1,22,20,0,2,9,1,9,4,4,3,6,3,6,0,7,5,0,4,6,6,19,18,17,15,2.298e+6,img_0062.png,img_0062_Front.png
30,0.9,4,21,3.29,1.20,0.89,1,1,1,0,0,0,16,12,17,4,0,4,9,11,5,3,10,4,2,2,3,0,3,2,8,18,6,1,11,2,8.7426e+6,img_0063.png,img_0063_Front.png
30,2.7,3,19,0.47,1.83,0.57,1,1,0,1,1,1,11,17,3,19,24,12,7,1,6,2,7,7,0,8,7,3,7,0,7,9,13,19,1,7,4.503e+6,img_0064.png,img_0064_Front.png
30,2.8,4,26,3.99,0.64,0.25,1,1,1,1,1,1,18,18,14,1,2,16,5,0,8,12,11,5,6,1,0,1,8,7,10,10,5,19,16,12,9.4499e+6,img_0065.png,img_0065_Front.png
30,3.3,4,3,1.59,1.93,0.34,0,0,0,0,0,0,12,20,3,1,20,18,0,3,13,1,1,0,5,8,5,3,1,4,16,19,6,1,10,12,4592.592457,img_0066.png,img_0066_Front.png
30,0.6,5,28,0.38,1.63,0.86,1,1,1,0,0,0,12,7,22,10,21,24,7,10,7,4,5,9,6,7,1,2,2,1,6,11,9,17,4,14,4.9135e+6,img_0067.png,img_0067_Front.png
30,3.9,6,29,3.40,0.97,0.01,1,1,0,1,0,1,7,2,19,23,25,7,3,1,12,1,8,8,7,4,4,1,2,8,7,2,3,12,19,9,2.0148e+6,img_0068.png,img_0068_Front.png
30,3.1,5,10,1.37,1.11,0.96,1,0,0,1,0,1,0,0,14,12,3,14,0,8,1,0,10,13,2,5,8,5,0,7,12,15,4,5,13,1,651623.002472,img_0069.png,img_0069_Front.png
30,0.3,4,22,2.82,2.38,0.53,1,1,0,1,0,0,7,5,17,20,15,24,0,3,7,4,8,3,3,8,4,3,5,3,2,17,14,5,16,1,2.8976e+6,img_0070.png,img_0070_Front.png
30,3.2,1,2,2.20,2.32,0.69,1,1,1,0,1,1,18,3,10,11,19,9,5,0,11,6,3,6,0,4,1,5,4,8,4,3,10,10,11,15,9.8476e+6,img_0071.png,img_0071_Front.png
30,1.0,5,15,3.21,2.01,0.15,1,0,1,0,1,1,15,8,19,8,12,12,3,8,8,5,4,6,1,1,0,2,5,4,0,1,4,10,18,14,1.1547e+6,img_0072.png,img_0072_Front.png
30,2.7,1,11,0.20,2.32,0.67,0,1,0,0,1,1,11,0,17,12,0,24,6,4,3,7,9,13,1,1,7,1,5,8,6,18,1,15,16,4,1.3738e+6,img_0073.png,img_0073_Front.png
30,2.1,1,26,1.04,1.52,0.91,1,1,1,1,1,1,14,9,5,4,8,6,12,3,11,12,2,1,1,7,4,2,0,2,15,1,17,5,7,17,1.4667e+6,img_0074.png,img_0074_Front.png
30,1.1,2,5,1.21,1.59,0.52,1,1,0,0,1,0,25,13,24,0,12,24,3,8,1,2,6,7,1,8,6,1,3,0,10,11,1,19,6,19,3.5178e+6,img_0075.png,img_0075_Front.png
30,2.1,3,16,1.03,1.56,0.04,0,0,1,1,0,1,3,17,5,13,17,7,3,12,5,9,4,10,0,8,2,2,4,2,15,19,19,6,11,12,7.8757e+6,img_0076.png,img_0076_Front.png
30,4.8,4,22,0.09,1.69,0.06,0,1,0,0,1,1,24,22,18,23,25,22,3,0,2,7,1,1,6,0,5,5,8,8,2,3,8,12,16,12,1.6497e+6,img_0077.png,img_0077_Front.png
30,2.1,5,17,3.6,0.77,0.82,1,1,1,0,1,1,19,19,22,6,1,4,3,6,7,8,7,5,7,6,3,7,0,0,1,17,12,19,12,9,5.1673e+6,img_0078.png,img_0078_Front.png
30,0.2,1,9,1.14,1.81,0.79,0,0,0,0,1,1,11,13,18,17,6,13,7,3,3,6,2,5,0,8,7,6,6,7,19,3,5,10,8,15,2.2482e+6,img_0079.png,img_0079_Front.png
30,3.5,5,1,2.45,2.39,0.15,1,0,0,0,1,0,12,0,12,15,18,17,4,6,1,3,1,9,4,3,2,0,8,0,3,8,5,19,11,13,1.6035e+6,img_0080.png,img_0080_Front.png
30,4.5,1,12,2.99,0.89,0.95,0,0,0,0,1,0,6,8,22,5,23,14,3,4,1,4,13,13,5,2,4,1,6,6,11,16,16,16,3,1,925814.001704,img_0081.png,img_0081_Front.png
30,4.0,5,1,2.91,1.97,0.22,1,0,1,1,0,0,24,12,2,0,15,6,0,8,9,1,0,13,4,0,8,4,5,5,17,0,4,12,17,7,8.9478e+6,img_0082.png,img_0082_Front.png
30,3.9,2,28,0.01,0.58,0.45,1,1,1,1,0,0,18,10,5,10,9,15,9,1,1,11,5,2,6,2,8,3,7,6,9,5,6,18,19,16,4.6019e+6,img_0083.png,img_0083_Front.png
30,1.2,2,7,2.67,1.47,0.79,1,0,1,0,1,0,23,15,2,23,8,5,8,7,1,7,13,13,5,6,5,1,2,5,5,2,17,2,1,7,483526.613179,img_0084.png,img_0084_Front.png
30,0.4,5,18,1.42,0.53,0.47,0,1,1,1,1,0,7,22,10,18,0,12,2,0,12,12,11,3,2,0,0,1,3,2,15,1,8,16,13,14,1.9767e+6,img_0085.png,img_0085_Front.png
